epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,675.408,0.44452,0.60287,0.90011,0.92113,0.86319,0.90341,0.80599,0.49309,0.53746,0.9169,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,684.828,0.41591,0.58565,0.88426,0.91829,0.8707,0.90789,0.80574,0.49402,0.54409,0.91897,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,694.478,0.39327,0.55784,0.87875,0.87917,0.86301,0.8971,0.79328,0.48752,0.56409,0.91541,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,704.308,0.41559,0.57658,0.87878,0.89726,0.85247,0.90145,0.78477,0.4941,0.57947,0.9239,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,713.572,0.42686,0.58743,0.89977,0.9092,0.8495,0.89699,0.78569,0.49825,0.56038,0.92586,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,723.346,0.40853,0.55376,0.87923,0.95954,0.82164,0.90051,0.78602,0.49531,0.54159,0.92571,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,732.694,0.41561,0.57048,0.88646,0.95447,0.84182,0.90322,0.79167,0.50056,0.53294,0.92388,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,742.469,0.38269,0.54421,0.87057,0.86083,0.88467,0.90703,0.79235,0.49856,0.54093,0.92904,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,751.752,0.4188,0.5644,0.8829,0.86601,0.88046,0.90366,0.79374,0.49103,0.54431,0.92559,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,762.167,0.38807,0.54909,0.86897,0.87302,0.86677,0.90014,0.79363,0.48701,0.55445,0.93302,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,771.651,0.39953,0.55888,0.87071,0.8379,0.88643,0.89792,0.79436,0.47824,0.56043,0.92469,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,781.101,0.40145,0.54542,0.87863,0.93237,0.80696,0.89973,0.79718,0.4775,0.55835,0.92011,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,790.728,0.38926,0.531,0.86137,0.94281,0.80539,0.89847,0.79188,0.4762,0.54759,0.91875,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,801.227,0.4032,0.54258,0.87212,0.91337,0.80238,0.889,0.78813,0.48081,0.55125,0.9204,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,810.773,0.38184,0.52986,0.86611,0.92308,0.80043,0.88838,0.78108,0.4821,0.55687,0.92495,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,820.939,0.38413,0.51338,0.87144,0.91713,0.79333,0.89146,0.79002,0.48372,0.56958,0.92625,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,829.767,0.38141,0.51771,0.8714,0.91488,0.80499,0.89499,0.79144,0.47922,0.55265,0.91874,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
82,838.963,0.3725,0.53256,0.87066,0.85678,0.85104,0.90002,0.78732,0.48733,0.55345,0.92615,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981,0.0005943,0.0001981
83,848.263,0.40371,0.53602,0.87444,0.85795,0.86135,0.90423,0.7929,0.47987,0.5496,0.92692,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
84,857.496,0.37086,0.5101,0.87025,0.87117,0.85443,0.90124,0.78923,0.48198,0.55445,0.92946,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783,0.0005349,0.0001783
85,866.651,0.3776,0.51035,0.87495,0.86954,0.86925,0.89816,0.7842,0.48809,0.53941,0.93213,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
86,876.539,0.39864,0.52521,0.89093,0.87939,0.86525,0.89636,0.78888,0.4797,0.53679,0.92999,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
87,886.443,0.38653,0.5353,0.87697,0.8781,0.85936,0.89337,0.79221,0.47997,0.55083,0.9282,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
88,896.179,0.37558,0.49884,0.87135,0.86547,0.85685,0.89423,0.79502,0.48494,0.5492,0.92838,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387,0.0004161,0.0001387
